YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
2006,FLA KEYS,ABU SAXA,4508392.730637631,1948865369346.9336,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ACA ASPE,8693.059833472242,37554576.66752581,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ACA BAHI,10735080.426841168,487986916292.916,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ACA CHAP,4910.15062187222,19338834.80650049,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ACA CHIR,7076388.704734606,814030279440.4464,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ACA COER,8400298.054806711,780943545707.0518,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ACA MARI,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ACA POLY,20268.092170807442,131106496.65321155,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ACA QUAD,109802.42305245758,891044844.60626,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ACA SOLA,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ACA SPE.,4346.529916736121,19001943.26193532,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ACA SPIN,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,AET NARI,12202.522020653762,147520500.6794557,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,AHL EGMO,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ALB VULP,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ALE CILI,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ALP AFER,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ALU MONO,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ALU SCHO,23665.773847308315,190547716.80082384,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ALU SCRI,150036.96466189163,1681244609.822722,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ALU SPE.,4346.529916736121,19001943.26193532,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,AMB PINO,24051.001382407463,184985165.80958515,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ANC LYOL,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ANI SURI,94293.24226756894,1265437094.8906186,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ANI VIRG,2983987.052154775,229611875390.38632,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ANT OCEL,12202.522020653762,149098565.5356634,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,APO AURO,13039.589750208364,171017489.35741788,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,APO BINO,18039.58123223184,119153667.84300433,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,APO MACU,21732.649583680606,205876206.88687474,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,APO PHEN,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,APO PSEU,230361.12658958454,19353958315.768135,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,APO QUAD,4346.529916736121,19001943.26193532,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,APO TOWN,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ARC PROB,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ARC RHOM,124999.78705058702,15651607028.76087,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,AST GUTT,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,AST PUNC,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,AST SPE.,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,AST STEL,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,ATH STIP,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,AUL MACU,361422.15696035494,5873124703.604993,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,BAL CAPR,425190.0900583243,19654283717.949287,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,BAL SPE.,4346.529916736121,19001943.26193532,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,BAL VETU,4346.529916736121,19001943.26193532,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,BLE SPE.,4346.529916736121,19001943.26193532,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,BOD PULC,75278.52734957033,1622089218.3604019,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,BOD RUFU,1117852.4216398704,16957988620.010155,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,BOL BOQU,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,BOT LUNA,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,BOT OCEL,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,BRO BARB,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,CAL BAJO,36343.36426321249,220440413.37479076,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,CAL CALA,1603091.8396665715,34002294042.093037,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,CAL NODO,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,CAL PENN,26079.17950041673,684069957.4296715,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,CAL PROR,34772.23933388897,293247655.6386893,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,CAL SPE.,9999.98296404696,100170284.98406956,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,CAN MACR,20895.581854126,147044662.9422526,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,CAN PULL,22538.532437036116,111342945.59286344,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,CAN ROST,2248274.958538175,67052228008.25054,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,CAN SUFF,91981.89828784027,1480396229.495047,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,CAR BART,1519671.7208815112,249340369985.4757,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,CAR CRYS,1821920.8419292388,461241884685.11273,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,CAR FALC,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,CAR HIPP,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,CAR LATU,43465.29916736121,1900194326.193532,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,CAR LEUC,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,CAR LIMB,0,0,231,415,16145,3654480.4355109693,0
2006,FLA KEYS,CAR LUGU,0,0,231,415,16145,3654480.4355109693,0
