YEAR,REGION,STRAT,PROT,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
2016,FLA KEYS,FDLR,0,ABU SAXA,4329.470810359315,18742152.762348164,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,ACA ASPE,0.0,0.0,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,ACA BAHI,1372450.9058255234,23724380812.52806,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,ACA CHIR,1089078.3823458857,60407568384.48073,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,ACA COER,855079.1439875853,25500727111.331264,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,ACA POLY,4329.470810359315,18742152.762348164,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,ACA QUAD,21647.354051796574,158478732.93057215,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,ACA SPE.,0.0,0.0,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,AET NARI,0.0,0.0,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,ALP AFER,0.0,0.0,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,ALU SCHO,0.0,0.0,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,ALU SCRI,419967.3275464743,33493441942.777195,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,ALU SPE.,0.0,0.0,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,AMB PINO,4329.470810359315,18742152.762348164,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,ANI SURI,30306.295672515203,491391852.0822216,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,ANI VIRG,346357.6648287452,7474878114.544261,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,APO AURO,0.0,0.0,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,APO BINO,8658.94162071863,36238767.65702649,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,APO MACU,0.0,0.0,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,APO PSEU,0.0,0.0,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,APO TOWN,0.0,0.0,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,ARC RHOM,0.0,0.0,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,ATH STIP,0.0,0.0,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,AUL MACU,134213.59512113876,2098907868.3857398,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,BAL CAPR,21647.354051796574,312689089.5324288,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,BAL VETU,4329.470810359315,18742152.762348164,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,BEL SPE.,0.0,0.0,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,BLE SPE.,0.0,0.0,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,BOD PULC,69271.53296574904,768669360.4198332,31,62,9487.0,536854.380484555,0
2016,FLA KEYS,FDLR,0,BOD RUFU,417793.9331996739,4664276609.259292,31,62,9487.0,536854.380484555,0
