YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
1999,DRY TORT,ABU SAXA,962.0032115776784,924969.1774799788,24,48,1441,326175.6771490434,0
1999,DRY TORT,ACA ASPE,0,0,24,48,1441,326175.6771490434,0
1999,DRY TORT,ACA BAHI,451660.50783572,10110505694.82448,24,48,1441,326175.6771490434,0
1999,DRY TORT,ACA CHIR,83637.69098304756,697885320.4573672,24,48,1441,326175.6771490434,0
1999,DRY TORT,ACA COER,722871.8485491518,37553270032.25511,24,48,1441,326175.6771490434,0
1999,DRY TORT,ACA MARI,0,0,24,48,1441,326175.6771490434,0
1999,DRY TORT,ACA POLY,0,0,24,48,1441,326175.6771490434,0
1999,DRY TORT,ACA QUAD,6111.549814728781,37347985.36300402,24,48,1441,326175.6771490434,0
1999,DRY TORT,ACA SOLA,0,0,24,48,1441,326175.6771490434,0
1999,DRY TORT,ACA SPE.,0,0,24,48,1441,326175.6771490434,0
1999,DRY TORT,ACA SPIN,0,0,24,48,1441,326175.6771490434,0
1999,DRY TORT,AET NARI,0,0,24,48,1441,326175.6771490434,0
1999,DRY TORT,AHL EGMO,0,0,24,48,1441,326175.6771490434,0
1999,DRY TORT,ALB VULP,0,0,24,48,1441,326175.6771490434,0
1999,DRY TORT,ALE CILI,0,0,24,48,1441,326175.6771490434,0
1999,DRY TORT,ALP AFER,0,0,24,48,1441,326175.6771490434,0
1999,DRY TORT,ALU MONO,0,0,24,48,1441,326175.6771490434,0
1999,DRY TORT,ALU SCHO,0,0,24,48,1441,326175.6771490434,0
1999,DRY TORT,ALU SCRI,12223.099629457562,149391941.4520161,24,48,1441,326175.6771490434,0
1999,DRY TORT,ALU SPE.,0,0,24,48,1441,326175.6771490434,0
1999,DRY TORT,AMB PINO,486.6604482098844,236595.06162774065,24,48,1441,326175.6771490434,0
1999,DRY TORT,ANC LYOL,0,0,24,48,1441,326175.6771490434,0
1999,DRY TORT,ANI SURI,0,0,24,48,1441,326175.6771490434,0
